id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1	2021/3.1-11	23/02/2021			1			1170000	1170000	0		posted						
2	2021/3.2-4	23/02/2021			2		5000	315000	315000	0		posted						
3	2021/2.15-24	24/02/2021			3			1300000	1300000	0		posted						
4	2021/3.4-13	24/02/2021			4			2000000	2000000	0		posted						
5	2021/3.5-26	25/02/2021			4		200000	2500000	2500000	0		posted						
6	2021/2.6-27	27/02/2021			7			1000000	1000000	0		posted						
7	2021/3.7-1	01/03/2021			8			6000000	6000000	0		posted						
8	2021/3.8-1	01/03/2021			6			1300000	1300000	0		posted						
9	2021/3.9-4	04/03/2021			9		38000	1600000	1600000	0		posted						
10	2021/3.10-4	04/03/2021			7			1050000	1050000	0		posted						
11	2021/3.11-8	08/03/2021			14			1300000	1300000	0		posted						
12	2021/3.12-10	10/03/2021			21		30000	1515000	1515000	0		posted						
13	2021/3.12-10	10/03/2021			22		240000	4800000	4800000	0		posted						
14	2021/3.14-10	10/03/2021			23			1300000	1300000	0		posted						
15	2021/3.15-25	11/03/2021			25		125000	2809000	2809000	0		posted						
16	2021/3.16-11	11/03/2021			26		350000	650000	650000	0		posted						
17	2021/3.17-14	13/03/2021			29			2720000	2720000	0		posted						
18	2021/3.18-15	13/03/2021			21			505000	505000	0		posted						
19	2021/3.19-15	15/03/2021			30			2320000	2320000	0		posted						
20	2021/3.20-15	15/03/2021			21		900	193600	193600	0		posted						
21	2021/5.21-5	15/03/2021			15			1300000	1300000	0		posted						
22	2021/4.22-4	15/03/2021			32			1300000	1300000	0		posted						
23	2021/5.23-20	15/03/2021			33			1500000	1500000	0		posted						
24	2021/3.24-15	15/03/2021			34		14500	5170000	5170000	0		posted						
25	2021/3.25-18	18/03/2021			36			14945000	14945000	0		posted						
26	2021/3.26-19	18/03/2021			39			2950000	2950000	0		posted						
27	2021/3.27-18	18/03/2021			38			500000	500000	0		posted						
28	2021/3.28-19	18/03/2021			40			570000	570000	0		posted						
29	2021/3.29-19	19/03/2021			41	16000		216000	216000	0		posted						
30	2021/3.30-23	23/03/2021			44			1890000	1890000	0		posted						
31	2021/3.31-24	24/03/2021			45			315000	315000	0		posted						
32	2021/3.32-25	25/03/2021			30		2000	250000	250000	0		posted						
33	2021/3.33-25	25/03/2021			47			840000	840000	0		posted						
34	2021/3.34-25	25/03/2021			31		1200	2840000	2840000	0		posted						
35	2021/3.35-26	26/03/2021			49			900000	900000	0		posted						
36	2021/3.36-26	26/03/2021			50			4480000	4480000	0		posted						
37	2021/3.37-26	26/03/2021			51			420000	420000	0		posted						
38	2021/3.38-27	27/03/2021			14			210000	210000	0		posted						
39	2021/3.39-27	27/03/2021			53			450000	450000	0		posted						
40	2021/5.40-20	28/03/2021			55	200000		3900000	3900000	0		posted						
41	2021/3.41-28	28/03/2021			56			1050000	1050000	0		posted						
42	2021/3.42-29	29/03/2021			47			210000	210000	0		posted						
43	2021/3.43-29	29/03/2021			36			2415000	2415000	0		posted						
44	2021/3.44-29	29/03/2021			57	1000		775000	775000	0		posted						
45	2021/3.45-29	29/03/2021			51		5000	500000	500000	0		posted						
46	2021/3.46-29	29/03/2021			40			760000	760000	0		posted						
47	2021/3.47-29	29/03/2021			4			5000000	5000000	0		posted						
48	2021/5.48-20	29/03/2021			4			3700000	3700000	0		posted						
49	2021/3.49-30	30/03/2021			31		3950	1465000	1465000	0		posted						
50	2021/3.50-30	30/03/2021			51			770000	770000	0		posted						
51	2021/4.51-1	30/03/2021			61			6800000	6800000	0		posted						
52	2021/5.52-20	31/03/2021			49	1000		100000	100000	0		posted						
53	2021/3.53-31	31/03/2021			62			480000	480000	0		posted						
54	2021/3.54-31	31/03/2021			40			95000	95000	0		posted						
55	2021/4.55-1	01/04/2021			51			140000	140000	0		posted						
56	2021/4.56-2	02/04/2021			65			135000	135000	0		posted						
57	2021/4.57-3	03/04/2021			67			140000	140000	0		posted						
58	2021/4.58-3	03/04/2021			36		61000	915000	915000	0		posted						
59	2021/4.59-3	03/04/2021			68		400	68000	68000	0		posted						
60	2021/4.60-3	03/04/2021			29		600	373000	373000	0		posted						
61	2021/4.61-5	05/04/2021			69			280000	280000	0		posted						
62	2021/4.62-5	05/04/2021			69			280000	280000	0		posted						
63	2021/4.63-5	05/04/2021			60			2960000	2960000	0		posted						
64	2021/5.64-5	05/04/2021			71			1700000	1700000	0		posted						
65	2021/4.65-6	06/04/2021			72			1400000	1400000	0		posted						
66	2021/5.66-5	06/04/2021			70		1590000	17600000	17600000	0		posted						
67	2021/4.67-6	06/04/2021			55	200000	185000	2975000	2975000	0		posted						
68	2021/5.68-20	07/04/2021			73			6240000	6240000	0		posted						
69	2021/4.69-7	07/04/2021			69			270000	270000	0		posted						
70	2021/4.70-7	07/04/2021			72		40000	560000	560000	0		posted						
71	2021/4.71-8	08/04/2021			74			900000	900000	0		posted						
72	2021/4.72-9	09/04/2021			75			3835000	3835000	0		posted						
73	2021/4.73-9	09/04/2021			62			360000	360000	0		posted						
74	2021/4.74-9	09/04/2021			76			140000	140000	0		posted						
75	2021/4.75-10	10/04/2021			78		10000	200000	200000	0		posted						
76	2021/4.76-10	10/04/2021			79			680000	680000	0		posted						
77	2021/4.77-10	10/04/2021			80		70400	1455000	1455000	0		posted						
78	2021/5.78-1	12/04/2021			83		40000	2457500	2457500	0		posted						
79	2021/4.79-12	12/04/2021			84			1050000	1050000	0		posted						
80	2021/4.80-12	12/04/2021			74			300000	300000	0		posted						
81	2021/4.81-13	13/04/2021			85		68000	4420000	4420000	0		posted						
82	2021/5.82-20	15/04/2021			70			5050000	5050000	0		posted						
83	2021/4.83-15	15/04/2021			84			1170000	1170000	0		posted						
84	2021/4.84-15	14/04/2021			86		200000	2600000	2600000	0		posted						
85	2021/4.85-15	15/04/2021			74			150000	150000	0		posted						
86	2021/4.86-15	14/04/2021			87			140000	140000	0		posted						
87	2021/4.87-15	15/04/2021			88			240000	240000	0		posted						
88	2021/4.88-19	19/04/2021			90			570000	570000	0		posted						
89	2021/5.89-5	22/04/2021			73			11085000	11085000	0		posted						
90	2021/4.90-22	22/04/2021			53			80000	80000	0		posted						
91	2021/4.90-22	22/04/2021			95			945000	945000	0		posted						
92	2021/4.92-23	23/04/2021			96			1575000	1575000	0		posted						
93	2021/4.93-23	23/04/2021			98			1300000	1300000	0		posted						
94	2021/4.94-23	23/04/2021			100			1094400	1094400	0		posted						
95	2021/5.95-5	24/04/2021			98		150000	1150000	1150000	0		posted						
