product_id,location_id,adjust_qty,unit_cost,reason
1,12,10,,"Auto top-up for posting draft sales"
2,12,8,,"Auto top-up for posting draft sales"
3,12,4,,"Auto top-up for posting draft sales"
4,12,2,,"Auto top-up for posting draft sales"
5,12,22,,"Auto top-up for posting draft sales"
6,12,24,,"Auto top-up for posting draft sales"
7,12,21,,"Auto top-up for posting draft sales"
8,12,25,,"Auto top-up for posting draft sales"
9,12,7,,"Auto top-up for posting draft sales"
10,12,1,,"Auto top-up for posting draft sales"
11,12,29,,"Auto top-up for posting draft sales"
12,12,4,,"Auto top-up for posting draft sales"
13,12,3,,"Auto top-up for posting draft sales"
14,12,7,,"Auto top-up for posting draft sales"
15,12,2,,"Auto top-up for posting draft sales"
16,12,6,,"Auto top-up for posting draft sales"
17,12,6,,"Auto top-up for posting draft sales"
18,12,1,,"Auto top-up for posting draft sales"
20,12,4,,"Auto top-up for posting draft sales"
21,12,15,,"Auto top-up for posting draft sales"
22,12,1,,"Auto top-up for posting draft sales"
23,12,1,,"Auto top-up for posting draft sales"
25,12,499.5,,"Auto top-up for posting draft sales"
26,12,615.5,,"Auto top-up for posting draft sales"
28,12,46,,"Auto top-up for posting draft sales"
29,12,3,,"Auto top-up for posting draft sales"
30,12,59.01,,"Auto top-up for posting draft sales"
31,12,80.19,,"Auto top-up for posting draft sales"
32,12,503.08,,"Auto top-up for posting draft sales"
33,12,336.94,,"Auto top-up for posting draft sales"
34,12,84.38,,"Auto top-up for posting draft sales"
35,12,122.55,,"Auto top-up for posting draft sales"
36,12,43.16,,"Auto top-up for posting draft sales"
37,12,206.95,,"Auto top-up for posting draft sales"
38,12,524.26,,"Auto top-up for posting draft sales"
39,12,36.78,,"Auto top-up for posting draft sales"
40,12,336.78,,"Auto top-up for posting draft sales"
41,12,453.95,,"Auto top-up for posting draft sales"
42,12,154.68,,"Auto top-up for posting draft sales"
43,12,50.6,,"Auto top-up for posting draft sales"
44,12,285,,"Auto top-up for posting draft sales"
45,12,27.4,,"Auto top-up for posting draft sales"
46,12,9,,"Auto top-up for posting draft sales"
47,12,11.5,,"Auto top-up for posting draft sales"
48,12,627.87,,"Auto top-up for posting draft sales"
49,12,65.74,,"Auto top-up for posting draft sales"
50,12,33.44,,"Auto top-up for posting draft sales"
52,12,3650.64,,"Auto top-up for posting draft sales"
53,12,100.76,,"Auto top-up for posting draft sales"
54,12,167.96,,"Auto top-up for posting draft sales"
55,12,65.45,,"Auto top-up for posting draft sales"
56,12,802.5,,"Auto top-up for posting draft sales"
57,12,103.13,,"Auto top-up for posting draft sales"
58,12,235.35,,"Auto top-up for posting draft sales"
59,12,174.65,,"Auto top-up for posting draft sales"
60,12,212.42,,"Auto top-up for posting draft sales"
61,12,659.97,,"Auto top-up for posting draft sales"
62,12,1393.76,,"Auto top-up for posting draft sales"
63,12,879.87,,"Auto top-up for posting draft sales"
64,12,1176.52,,"Auto top-up for posting draft sales"
65,12,1070.8,,"Auto top-up for posting draft sales"
66,12,120.7,,"Auto top-up for posting draft sales"
67,12,668.7,,"Auto top-up for posting draft sales"
68,12,395,,"Auto top-up for posting draft sales"
69,12,1,,"Auto top-up for posting draft sales"
70,12,39,,"Auto top-up for posting draft sales"
71,12,16,,"Auto top-up for posting draft sales"
72,12,150,,"Auto top-up for posting draft sales"
73,12,359.25,,"Auto top-up for posting draft sales"
74,12,331,,"Auto top-up for posting draft sales"
75,12,137,,"Auto top-up for posting draft sales"
76,12,67.7,,"Auto top-up for posting draft sales"
77,12,65.2,,"Auto top-up for posting draft sales"
78,12,7,,"Auto top-up for posting draft sales"
79,12,53,,"Auto top-up for posting draft sales"
80,12,10,,"Auto top-up for posting draft sales"
81,12,68,,"Auto top-up for posting draft sales"
82,12,36,,"Auto top-up for posting draft sales"
83,12,10,,"Auto top-up for posting draft sales"
84,12,50,,"Auto top-up for posting draft sales"
85,12,6.36,,"Auto top-up for posting draft sales"
86,12,6.36,,"Auto top-up for posting draft sales"
87,12,51.67,,"Auto top-up for posting draft sales"
88,12,56.26,,"Auto top-up for posting draft sales"
89,12,69.5,,"Auto top-up for posting draft sales"
90,12,74.9,,"Auto top-up for posting draft sales"
91,12,19.15,,"Auto top-up for posting draft sales"
92,12,20,,"Auto top-up for posting draft sales"
93,12,22,,"Auto top-up for posting draft sales"
94,12,32,,"Auto top-up for posting draft sales"
95,12,69,,"Auto top-up for posting draft sales"
96,12,707,,"Auto top-up for posting draft sales"
97,12,15,,"Auto top-up for posting draft sales"
98,12,41,,"Auto top-up for posting draft sales"
99,12,33,,"Auto top-up for posting draft sales"
100,12,7,,"Auto top-up for posting draft sales"
101,12,15,,"Auto top-up for posting draft sales"
102,12,13,,"Auto top-up for posting draft sales"
103,12,1,,"Auto top-up for posting draft sales"
104,12,1,,"Auto top-up for posting draft sales"
105,12,25,,"Auto top-up for posting draft sales"
106,12,4,,"Auto top-up for posting draft sales"
107,12,4,,"Auto top-up for posting draft sales"
108,12,1,,"Auto top-up for posting draft sales"
109,12,7,,"Auto top-up for posting draft sales"
110,12,3,,"Auto top-up for posting draft sales"
111,12,7,,"Auto top-up for posting draft sales"
112,12,2,,"Auto top-up for posting draft sales"
113,12,3,,"Auto top-up for posting draft sales"
114,12,3,,"Auto top-up for posting draft sales"
116,12,26,,"Auto top-up for posting draft sales"
117,12,2,,"Auto top-up for posting draft sales"
118,12,3,,"Auto top-up for posting draft sales"
119,12,3,,"Auto top-up for posting draft sales"
120,12,5,,"Auto top-up for posting draft sales"
121,12,5,,"Auto top-up for posting draft sales"
122,12,2,,"Auto top-up for posting draft sales"
123,12,2,,"Auto top-up for posting draft sales"
126,12,1,,"Auto top-up for posting draft sales"
127,12,1,,"Auto top-up for posting draft sales"
129,12,2,,"Auto top-up for posting draft sales"
130,12,2,,"Auto top-up for posting draft sales"
133,12,1,,"Auto top-up for posting draft sales"
136,12,1,,"Auto top-up for posting draft sales"
141,12,6,,"Auto top-up for posting draft sales"
143,12,1,,"Auto top-up for posting draft sales"
144,12,1,,"Auto top-up for posting draft sales"
146,12,2,,"Auto top-up for posting draft sales"
147,12,1,,"Auto top-up for posting draft sales"
149,12,3,,"Auto top-up for posting draft sales"
151,12,3,,"Auto top-up for posting draft sales"
152,12,2,,"Auto top-up for posting draft sales"
154,12,1,,"Auto top-up for posting draft sales"
156,12,3,,"Auto top-up for posting draft sales"
157,12,8,,"Auto top-up for posting draft sales"
158,12,1,,"Auto top-up for posting draft sales"
159,12,1,,"Auto top-up for posting draft sales"
165,12,3,,"Auto top-up for posting draft sales"
166,12,1,,"Auto top-up for posting draft sales"
168,12,2,,"Auto top-up for posting draft sales"
